,ID,DOI,DOI_API,DOI_retry_API,complete,csv_post_title,title_API,title_retry_API,good_list
724,2272,,10.1111/jvim.15052,10.1210/en.2016-1802,"gascoyne, d. m., lyne, l., spearman, h., buffa, f. m., soilleux, e. j., & banham, a. h. (2016). vitamin d receptor expression in plasmablastic lymphoma and myeloma cells confers susceptibility to vitamin d. endocrinology, 158(3), 503-515.",vitamin d receptor expression in plasmablastic lymphoma and mywloma cells confers susceptibility to vitamin d,Vitamin D Receptor Expression in Dogs,Vitamin D receptor expression in plasmablastic lymphoma and myeloma cells confers susceptibility to vitamin D.,False
728,238,,10.3724/sp.j.1087.2013.01737,10.1002/hbm.21402,"gelineau-morel r, tomassini v, jenkinson m, johansen-berg h, mathews pm, palace j. the effect of hypointense white matter lesions on automated grey matter segmentation in multiple sclerosis.   dec;33:2802-14.",the effect of hypointense white matter lesions on automated grey matter segmentation in multiple sclerosis,New method for multiple sclerosis white matter lesions segmentation,The effect of hypointense white matter lesions on automated gray matter segmentation in multiple sclerosis,False
742,47,,10.1002/cyto.b.21630,10.4049/jimmunol.1102711,"giles j, shaw j, piper c, wong-baeza i, mchugh k, ridley a, li d, lenart i, antoniou an, digleria k, kuroki k, maenaka k, bowness p, kollnberger s. hla-b27 homodiners and free hchains.   may.",hla-b27 homodiners and free hchains,Human HLA-B27 typing using the BD™ HLA-B27 kit on the BD FACSVia™ system: A multicenter study,HLA-B27 Homodimers and Free H Chains Are Stronger Ligands for Leukocyte Ig-like Receptor B2 than Classical HLA Class I,False
750,1485,10.1016/S0140-6736(15)60692-4,10.1001/jamaoncol.2018.2706,10.1200/jco.2018.36.15_suppl.1568,"global burden of disease study 2013 collaborators. global, regional, and national incidence, prevalence, and years lived with disability for 301 acute and chronic diseases and injuries in 188 countries, 1990-2013: a systematic analysis for the global burden of disease study 2013.   aug;386(9995):743-800. doi: 10.1016/s0140-6736(15)60692-4. epub 2015 jun 7..","global, regional, and national incidence, prevalence, and years lived with disability for 301 acute and chronic diseases and injuries in 188 countries, 1990-2013: a systematic analysis for the global burden of disease study 2013","Global, Regional, and National Cancer Incidence, Mortality, Years of Life Lost, Years Lived With Disability, and Disability-Adjusted Life-Years for 29 Cancer Groups, 1990 to 2016","Global, regional, and national cancer incidence, mortality, years of life lost, years lived with disability, and disability-adjusted life-years for 29 cancer groups, 2006 to 2016: A systematic analysis for the Global Burden of Disease study.",False
803,1935,10.1038/nature14347,10.1002/tre.466,10.1016/j.urolonc.2016.02.004,"gundem g, van loo p, kremeyer b, alexandrov lb, tubio jm1, papaemmanuil e, brewer ds, kallio hm, hã¶gnã¤s g, annala m, kivinummi k, goody v, latimer c, o'meara s, dawson kj, isaacs w, emmert-buck mr, nykter m, foster c, kote-jarai z, easton d, whitaker hc, icgc prostate uk group, neal de, cooper cs, eeles ra, visakorpi t, campbell pj, mcdermott u, wedge dc, bova gs. the evolutionary history of lethal metastatic prostate cancer..   apr;520(7547):353-7. doi: 10.1038/nature14347. epub 2015 apr 1.",the evolutionary history of lethal metastatic prostate cancer.,Treatment of metastatic prostate cancer,"Commentary on “The evolutionary history of lethal metastatic prostate cancer.” Gundem G, Van Loo P, Kremeyer B, Alexandrov LB, Tubio JM, Papaemmanuil E, Brewer DS, Kallio HM, Högnäs G, Annala M, Kivinummi K, Goody V, Latimer C, O’Meara S, Dawson KJ, Isaacs W, Emmert-Buck MR, Nykter M, Foster C, Kote-Jarai Z, Easton D, Whitaker HC, ICGC Prostate UK Group, Neal DE, Cooper CS, Eeles RA, Visakorpi T, Campbell PJ, McDermott U, Wedge DC, Bova GS, University of Washington—Urology, Seattle, WA . Nature 2015; 520(7547):353-7.",False
809,1252,,10.1111/j.1600-0625.2012.01455.x,10.1111/j.1600-0625.2011.01412.x,"gutowska-owsiak d, salimi m, selvakumar ta, wang x, taylor s, ogg gs.. histamine exerts multiple effects on expression of genes associated with epidermal barrier function.   dec;24(4):231-9.",histamine exerts multiple effects on expression of genes associated with epidermal barrier function,Topical hesperidin improves epidermal permeability barrier function and epidermal differentiation in normal murine skin,IL-17 downregulates filaggrin and affects keratinocyte expression of genes associated with cellular adhesion,False
814,2098,10.1016/S2352-3018(16)30087-X,10.1097/01.ogx.0000511935.64476.66,10.1097/01.ogx.0000511935.64476.66,"h., gbd 2015 hiv collaborators, wang h, wolock tm, carter a, nguyen g, kyu hh et al. estimates of global, regional, and national incidence, prevalence, and mortality of hiv, 1980-2015: the global burden of disease study 2015.   aug;3(8):e361-87. doi: 10.1016/s2352-3018(16)30087-x. epub 2016 jul 19.","estimates of global, regional, and national incidence, prevalence, and mortality of hiv, 1980-2015: the global burden of disease study 2015","Global, Regional, and National Levels of Maternal Mortality, 1990–2015","Global, Regional, and National Levels of Maternal Mortality, 1990–2015",False
823,2076,10.1093/ije/dyv094,10.1002/ana.24281,10.1016/j.respe.2018.05.016,hagg s et al. adiposity as a cause of cardiovascular disease: a mendelian randomization study.   sep 5;44(2):578-86. doi: 10.1093/ije/dyv094.,adiposity as a cause of cardiovascular disease: a mendelian randomization study,Mendelian randomization of serum urate and parkinson disease progression,Circulating antioxidants and Alzheimer's disease prevention: A Mendelian randomization study,False
835,1098,,10.1111/bjd.12166,10.1210/jc.2014-1270,"hamilton a, newby pr, carr-smith jd, disanto g, allahabadia a, armitage m, brix th, chatterjee k, connell jm, hegedus l, hunt pj, lazarus jh, pearce sh, robinson bg, taylor jc, vaidya b, wass ja, wiersinga wm, weetman ap, ramagopalan s, franklyn ja, gough sc, simmonds mj. impact of month of birth on the development of autoimmune thyroid disease in the uk and europe.   aug;99(8):e1459-65.",impact of month of birth on the development of autoimmune thyroid disease in the uk and europe,Autoimmune thyroid disease in vitiligo: multivariate analysis indicates intricate pathomechanisms,Impact of Month of Birth on the Development of Autoimmune Thyroid Disease in the United Kingdom and Europe,False
864,674,,10.1111/j.1365-2362.2011.02574.x,10.1161/circulationaha.113.002717,"hata j, arima h, rothwell pm, woodward m, zoungas s, anderson c, patel a, neal b, glasziou p, hamet p, mancia g, poulter n, williams b, macmahon s, chalmers j; advance collaborative group. effects of visit-to-visit variability in systolic blood pressure on macrovascular and microvascular complications in patients with type 2 diabetes mellitus: the advance trial.   sep 17;128(12):1325-24.",effects of visit-to-visit variability in systolic blood pressure on macrovascular and microvascular complications in patients with type 2 diabetes mellitus: the advance trial,Visit-to-visit variability in blood pressure strongly predicts all-cause mortality in patients with type 2 diabetes: a 5·5-year prospective analysis,Effects of Visit-to-Visit Variability in Systolic Blood Pressure on Macrovascular and Microvascular Complications in Patients With Type 2 Diabetes Mellitus,False
906,21,,10.1111/imj.13060,10.1038/ki.2011.413,"hirst ja, taylor ks, stevens rj, blacklock cl, roberts nw, pugh cw, farmer aj. the impact of renin-angiotensin-aldosterone system inhibitors on type 1 and type 2 diabetic patients.   apr;81:674-83.",the impact of renin-angiotensin-aldosterone system inhibitors on type 1 and type 2 diabetic patients,Use of renin angiotensin system inhibitors in patients with chronic kidney disease,The impact of renin–angiotensin–aldosterone system inhibitors on Type 1 and Type 2 diabetic patients with and without early diabetic nephropathy,False
