,ID,DOI,complete,csv_post_title,crossref_API_out,title,DOI_API,title_API,title_match,DOI_match
10,168,," Pagnamenta AT,  Murray JE,  Yoon G, Akha ES,  Harrison V,  Bicknell LS, Ajilogba K,  Stewart H,  Kini U,  Taylor JC,  Keays DA,  Jackson AP,  Knight SJ. A novel nonsense CDK5RAP2 mutation in a Somali child with primary microcephaly and sensorineural hearing loss.   Oct;158A(10):2577-82.",A novel nonsense CDK5RAP2 mutation in a Somali child with primary microcephaly and sensorineural hearing loss,"{'title': ['High-frequency sensorineural hearing loss in children'], 'DOI': '10.1002/lary.25544'}",['High-frequency sensorineural hearing loss in children'],10.1002/lary.25544,High-frequency sensorineural hearing loss in children,False,False
11,2026,10.3201/eid2204.151812," Pybus OG, Bonsall D, Gregory WF, Ip CL, Donfield S, Iles J, Ansari MA et al. Evaluation of Viremia Frequencies of a Novel Human Pegivirus by Using Bioinformatic Screening and PCR.   Apr;22(4):671-8. doi: 10.3201/eid2204.151812.",Evaluation of Viremia Frequencies of a Novel Human Pegivirus by Using Bioinformatic Screening and PCR,"{'title': ['Evaluation of Viremia Frequencies of a Novel Human Pegivirus by Using Bioinformatic Screening and PCR'], 'DOI': '10.3201/eid2204.151812'}",['Evaluation of Viremia Frequencies of a Novel Human Pegivirus by Using Bioinformatic Screening and PCR'],10.3201/eid2204.151812,Evaluation of Viremia Frequencies of a Novel Human Pegivirus by Using Bioinformatic Screening and PCR,True,True
12,1154,10.7554/eLife.03821," Williams JP,  Hurst J,  StÃ•_hr W,  Robinson N,  Brown H,  Fisher M,  Kinloch S,  Cooper D,  Schechter M,  Tambussi G,  Fidler S,  Carrington M,  Babiker A,  Weber J,  Koelsch KK,  Kelleher AD,  Phillips RE, Frater J,  SPARTAC Trial Investigators. HIV-1 DNA predicts disease progression and post-treatment virological control.   Sep 12;12(3). e03821. doi: 10.7554/eLife.03821.",HIV-1 DNA predicts disease progression and post-treatment virological control,"{'title': ['HIV-1 DNA predicts disease progression and post-treatment virological control'], 'DOI': '10.7554/elife.03821'}",['HIV-1 DNA predicts disease progression and post-treatment virological control'],10.7554/elife.03821,HIV-1 DNA predicts disease progression and post-treatment virological control,True,True
13,1729,10.1111/dote.12244,"., Findlay JM, Tilson RC, Harikrishnan A, Sgromo B, Marshall RE, Maynard ND, Gillies RS, Middleton MR et al. Attempted validation of the NUn score and inflammatory markers as predictors of esophageal anastomotic leak and major complications..   Oct;28(7):626-33. doi: 10.1111/dote.12244. Epub 2014 Jun 4.",Attempted validation of the NUn score and inflammatory markers as predictors of esophageal anastomotic leak and major complications.,"{'title': ['Attempted validation of the NUn score and inflammatory markers as predictors of esophageal anastomotic leak and major complications'], 'DOI': '10.1111/dote.12244'}",['Attempted validation of the NUn score and inflammatory markers as predictors of esophageal anastomotic leak and major complications'],10.1111/dote.12244,Attempted validation of the NUn score and inflammatory markers as predictors of esophageal anastomotic leak and major complications,False,True
14,2123,10.1016/j.dib.2016.08.046,"., Rysnik O, McHugh K, van Duivenvoorde L, van Tok M2, Taurog J, Kollnberger S et al. Data showing non-conventional HLA-B27 expression in axial joints and gut tissue from B27 transgenic rats, and in frozen and paraffin-fixed synovial SpA tissue.   Aug 28;9(100):11. doi: 10.1016/j.dib.2016.08.046. eCollection 2016.","Data showing non-conventional HLA-B27 expression in axial joints and gut tissue from B27 transgenic rats, and in frozen and paraffin-fixed synovial SpA tissue","{'title': ['Data showing non-conventional HLA-B27 expression in axial joints and gut tissue from B27 transgenic rats, and in frozen and paraffin-fixed synovial SpA tissue'], 'DOI': '10.1016/j.dib.2016.08.046'}","['Data showing non-conventional HLA-B27 expression in axial joints and gut tissue from B27 transgenic rats, and in frozen and paraffin-fixed synovial SpA tissue']",10.1016/j.dib.2016.08.046,"Data showing non-conventional HLA-B27 expression in axial joints and gut tissue from B27 transgenic rats, and in frozen and paraffin-fixed synovial SpA tissue",True,True
15,2125,10.1128/JCM.00330-16,"., Thomson E, Ip CL, Badhan A, Christiansen MT, Adamson W, Ansari MA et al. Comparison of Next-Generation Sequencing Technologies for Comprehensive Assessment of Full-Length Hepatitis C Viral Genomes.   Oct;54(10):2470-84. doi: 10.1128/JCM.00330-16. Epub 2016 Jul 6.",Comparison of Next-Generation Sequencing Technologies for Comprehensive Assessment of Full-Length Hepatitis C Viral Genomes,"{'title': ['Comparison of Next-Generation Sequencing Technologies for Comprehensive Assessment of Full-Length Hepatitis C Viral Genomes'], 'DOI': '10.1128/jcm.00330-16'}",['Comparison of Next-Generation Sequencing Technologies for Comprehensive Assessment of Full-Length Hepatitis C Viral Genomes'],10.1128/jcm.00330-16,Comparison of Next-Generation Sequencing Technologies for Comprehensive Assessment of Full-Length Hepatitis C Viral Genomes,True,True
16,2014,10.3233/JAD-150862,"; Genetic and Environmental Risk for Alzheimer's disease Consortium (GERAD1)., Love S; Genetic and Environmental Risk for Alzheimer's disease Consortium (GERAD1), Skrobot OA, McKnight AJ, Passmore PA, Seripa D, Mecocci P, Panza F et al. A Validation Study of Vascular Cognitive Impairment Genetics Meta-Analysis Findings in an Independent Collaborative Cohort.   Jun 15;53(3):981-9. doi: 10.3233/JAD-150862.",A Validation Study of Vascular Cognitive Impairment Genetics Meta-Analysis Findings in an Independent Collaborative Cohort,"{'title': ['A Validation Study of Vascular Cognitive Impairment Genetics Meta-Analysis Findings in an Independent Collaborative Cohort'], 'DOI': '10.3233/jad-150862'}",['A Validation Study of Vascular Cognitive Impairment Genetics Meta-Analysis Findings in an Independent Collaborative Cohort'],10.3233/jad-150862,A Validation Study of Vascular Cognitive Impairment Genetics Meta-Analysis Findings in an Independent Collaborative Cohort,True,True
17,1299,10.1002/art.38873,"1, Robinson PC,   Claushuis TA,   Cortes A,   Martin TM,   Evans DM,   Leo P,   Mukhopadhyay P,   Bradbury LA,   Cremin K,   Harris J,   Maksymowych WP,   Inman RD,   Rahman P,   Haroon N,   Gensler L,   Powell JE,   van der Horst-Bruinsma IE,   Hewitt AW,   Craig JE,   Lim LL,   Wakefield D,   McCluskey P,   Voigt V,   Fleming P; Spondyloarthritis Research Consortium of Canada,   Australio-Anglo-American Spondylitis Consortium,   International Genetics of Ankylosing Spondylitis Consortium,   Wellcome Trust Case Control Study 2,   Degli-Esposti M,   Pointon JJ,   Weisman MH,   Wordsworth BP,   Reveille JD,   Rosenbaum JT,   Brown MA.,  Weisman MH.. Genetic dissection of acute anterior uveitis reveals similarities and differences in associations observed with ankylosing spondylitis.   Jan;67(1):140-51.  doi: 10.1002/art.38873..",Genetic dissection of acute anterior uveitis reveals similarities and differences in associations observed with ankylosing spondylitis,"{'title': ['Genetic Dissection of Acute Anterior Uveitis Reveals Similarities and Differences in Associations Observed With Ankylosing Spondylitis'], 'DOI': '10.1002/art.38873'}",['Genetic Dissection of Acute Anterior Uveitis Reveals Similarities and Differences in Associations Observed With Ankylosing Spondylitis'],10.1002/art.38873,Genetic Dissection of Acute Anterior Uveitis Reveals Similarities and Differences in Associations Observed With Ankylosing Spondylitis,True,True
18,1093,10.1016/j.neuroimage.2014.03.056,"7.	Sampaio-Baptista C, Scholz J, Jenkinson M, Thomas AG, Filippini N, Smit G, Douaud G, Johansen-Berg H. Grey matter volume is associated with rate of subsequent skill learning after a long term training intervention.   Aug 1;96:158-66. doi: 10.1016/j.neuroimage.2014.03.056.",Grey matter volume is associated with rate of subsequent skill learning after a long term training intervention,"{'title': ['Gray matter volume is associated with rate of subsequent skill learning after a long term training intervention'], 'DOI': '10.1016/j.neuroimage.2014.03.056'}",['Gray matter volume is associated with rate of subsequent skill learning after a long term training intervention'],10.1016/j.neuroimage.2014.03.056,Gray matter volume is associated with rate of subsequent skill learning after a long term training intervention,False,True
19,1545,10.1111/bjh.13380,"Ã•_sterborg A, Wierda WG, Mayer J, Hess G, Hillmen P, Schetelig J, Schuh A, Smolej L, Beck C, Dreyfus B, Hellman A, Kozlowski P, Pfreundschuh M, Rizzi R, Spacek M, Phillips JL, Gupta IV, Williams V, Jewell RC, Nebot N, Lisby S, Dyer MJ. Ofatumumab retreatment and maintenance in fludarabine-refractory chronic lymphocytic leukaemia patients.   Jul;170(1):40-9. 10.1111/bjh.13380. Epub 2015 Mar 30. PubMed PMID: 25825041.															.",Ofatumumab retreatment and maintenance in fludarabine-refractory chronic lymphocytic leukaemia patients,"{'title': ['Ofatumumab retreatment and maintenance in fludarabine-refractory chronic lymphocytic leukaemia patients'], 'DOI': '10.1111/bjh.13380'}",['Ofatumumab retreatment and maintenance in fludarabine-refractory chronic lymphocytic leukaemia patients'],10.1111/bjh.13380,Ofatumumab retreatment and maintenance in fludarabine-refractory chronic lymphocytic leukaemia patients,True,True
20,1920,10.1016/j.fertnstert.2014.12.123,"Åukaszuk K, Pukszta S, Wells D, Cybulska C, Liss J, PÅ‚Ã³ciennik Å, KuczyÅ„ski W, Zabielska J. Routine use of next-generation sequencing for preimplantation genetic diagnosis of blastomeres obtained from embryos on day 3 in fresh in vitro fertilization cycles.   Apr;103(4):1031-6. doi: 10.1016/j.fertnstert.2014.12.123. Epub 2015 Jan 24.",Routine use of next-generation sequencing for preimplantation genetic diagnosis of blastomeres obtained from embryos on day 3 in fresh in vitro fertilization cycles,"{'title': ['Routine use of next-generation sequencing for preimplantation genetic diagnosis of blastomeres obtained from embryos on day 3 in fresh in\xa0vitro fertilization cycles'], 'DOI': '10.1016/j.fertnstert.2014.12.123'}",['Routine use of next-generation sequencing for preimplantation genetic diagnosis of blastomeres obtained from embryos on day 3 in fresh in\xa0vitro fertilization cycles'],10.1016/j.fertnstert.2014.12.123,Routine use of next-generation sequencing for preimplantation genetic diagnosis of blastomeres obtained from embryos on day 3 in fresh in vitro fertilization cycles,False,True
21,1023,,"Abdel-Hady M, Bansal S, Davison SM, Brown M, Tizzard SA, Mulla S et al. Treatment of chronic viral hepatitis C in children and adolescents: UK experience.   Jun;99(6):505-10.",Treatment of chronic viral hepatitis C in children and adolescents: UK experience,"{'title': ['Chronic hepatitis C in children - review of natural history at a National Centre'], 'DOI': '10.1111/j.1365-2893.2011.01456.x'}",['Chronic hepatitis C in children - review of natural history at a National Centre'],10.1111/j.1365-2893.2011.01456.x,Chronic hepatitis C in children - review of natural history at a National Centre,False,False
22,1369,10.1097/NEN.0000000000000173,"Aboulenein-Djamshidian F, HÃ•_ftberger R, Waters P, Krampla W, Lassmann H, Budka H, Vincent A, Kristoferitsch W.. Reduction in serum aquaporin-4 antibody titers during development of a tumor-like brain lesion in a patient with neuromyelitis optica: a serum antibody-consuming effect?.   Mar;74:194-7. doi: 10.1097/NEN.0000000000000173.",Reduction in serum aquaporin-4 antibody titers during development of a tumor-like brain lesion in a patient with neuromyelitis optica: a serum antibody-consuming effect?,"{'title': ['Reduction in Serum Aquaporin-4 Antibody Titers During Development of a Tumor-Like Brain Lesion in a Patient With Neuromyelitis Optica: A Serum Antibody–Consuming Effect?'], 'DOI': '10.1097/nen.0000000000000173'}",['Reduction in Serum Aquaporin-4 Antibody Titers During Development of a Tumor-Like Brain Lesion in a Patient With Neuromyelitis Optica: A Serum Antibody–Consuming Effect?'],10.1097/nen.0000000000000173,Reduction in Serum Aquaporin-4 Antibody Titers During Development of a Tumor-Like Brain Lesion in a Patient With Neuromyelitis Optica: A Serum Antibody–Consuming Effect?,False,True
23,479,,"Adam J, Yang M, Bauerschmidt C, Kitagawa M, O'Flaherty L, Maheswaran P et al. A role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia.   May 30;3(5):1440-8.",A role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia,"{'title': ['A Role for Cytosolic Fumarate Hydratase in Urea Cycle Metabolism and Renal Neoplasia'], 'DOI': '10.1016/j.celrep.2013.04.006'}",['A Role for Cytosolic Fumarate Hydratase in Urea Cycle Metabolism and Renal Neoplasia'],10.1016/j.celrep.2013.04.006,A Role for Cytosolic Fumarate Hydratase in Urea Cycle Metabolism and Renal Neoplasia,True,False
24,486,,"Adam S, Penton-Voak IS, Harmer CJ, Holmes EA, Munafo MR. Effects of emotion recognition training on mood among individuals with high levels of depressive symptoms: study protocol for a randomised controlled trial.   Jun;14(1):161.",Effects of emotion recognition training on mood among individuals with high levels of depressive symptoms: study protocol for a randomised controlled trial,"{'title': ['Effects of emotion recognition training on mood among individuals with high levels of depressive symptoms: study protocol for a randomised controlled trial'], 'DOI': '10.1186/1745-6215-14-161'}",['Effects of emotion recognition training on mood among individuals with high levels of depressive symptoms: study protocol for a randomised controlled trial'],10.1186/1745-6215-14-161,Effects of emotion recognition training on mood among individuals with high levels of depressive symptoms: study protocol for a randomised controlled trial,True,False
25,1337,,"Adib-Samii P, Devan W, Traylor M, Lanfranconi S, Zhang CR, Cloonan L, Falcone GJ, Radmanesh F, Fitzpatrick K, Kanakis A, Rothwell PM, Sudlow C, Boncoraglio GB, Meschia JF, Levi C, Dichgans M, Bevan S, Rosand J, Rost NS, Markus HS.. Genetic architecture of white matter hyperintensities differs in hypertensive and nonhypertensive ischemic stroke.   Feb;46(2):348-53 .",Genetic architecture of white matter hyperintensities differs in hypertensive and nonhypertensive ischemic stroke,"{'title': ['Genetic Architecture of White Matter Hyperintensities Differs in Hypertensive and Nonhypertensive Ischemic Stroke'], 'DOI': '10.1161/strokeaha.114.006849'}",['Genetic Architecture of White Matter Hyperintensities Differs in Hypertensive and Nonhypertensive Ischemic Stroke'],10.1161/strokeaha.114.006849,Genetic Architecture of White Matter Hyperintensities Differs in Hypertensive and Nonhypertensive Ischemic Stroke,True,False
26,1642,10.3389/fmicb.2015.01016,"Adland E, Klenerman P, Goulder P, Matthews PC. Ongoing burden of disease and mortality from HIV/CMV coinfection in Africa in the antiretroviral therapy era.   Sep 24;6:1016. doi: 10.3389/fmicb.2015.01016. eCollection 2015..",Ongoing burden of disease and mortality from HIV/CMV coinfection in Africa in the antiretroviral therapy era,"{'title': ['Review of cytomegalovirus coinfection in HIV-infected individuals in Africa'], 'DOI': '10.1002/rmv.1907'}",['Review of cytomegalovirus coinfection in HIV-infected individuals in Africa'],10.1002/rmv.1907,Review of cytomegalovirus coinfection in HIV-infected individuals in Africa,False,False
27,1520,10.1371/journal.ppat.1004954,"Adland E, Paioni P, Thobakgale C, Laker L, Mori L, Muenchhoff M, Csala A, Clapson M, Flynn J, Novelli V, Hurst J, Naidoo V, Shapiro R, Huang KH, Frater J et al. Discordant impact of HLA on viral replicative capacity and disease progression in pediatric and adult HIV infection.   Jun 15;11(6). e1004954. doi: 10.1371/journal.ppat.1004954. eCollection 2015..",Discordant impact of HLA on viral replicative capacity and disease progression in pediatric and adult HIV infection,"{'title': ['Discordant Impact of HLA on Viral Replicative Capacity and Disease Progression in Pediatric and Adult HIV Infection'], 'DOI': '10.1371/journal.ppat.1004954'}",['Discordant Impact of HLA on Viral Replicative Capacity and Disease Progression in Pediatric and Adult HIV Infection'],10.1371/journal.ppat.1004954,Discordant Impact of HLA on Viral Replicative Capacity and Disease Progression in Pediatric and Adult HIV Infection,True,True
28,2209,10.1038/mt.2016.83,"Afolabi MO, Tiono AB, Adetifa UJ, Yaro JB, Drammeh A, NÃ©biÃ© I et al. Safety and Immunogenicity of ChAd63 and MVA ME-TRAP in West African Children and Infants.   Aug;24(8):1470-7. doi: 10.1038/mt.2016.83. Epub 2016 Apr 25.",Safety and Immunogenicity of ChAd63 and MVA ME-TRAP in West African Children and Infants,"{'title': ['Safety and Immunogenicity of ChAd63 and MVA ME-TRAP in West African Children and Infants'], 'DOI': '10.1038/mt.2016.83'}",['Safety and Immunogenicity of ChAd63 and MVA ME-TRAP in West African Children and Infants'],10.1038/mt.2016.83,Safety and Immunogenicity of ChAd63 and MVA ME-TRAP in West African Children and Infants,True,True
29,1223,10.1016/j.jaci.2014.04.031,"Aguilar C, Lenoir C, Lambert N, BÃ•Å’gue B, Brousse N, Canioni D, Berrebi D, Roy M, GÅ½rart S, Chapel H, Schwerd T, Siproudhis L, SchÃ•_ppi M, Al-Ahmari A, Mori M, Yamaide A, Galicier L, Neven B, Routes J, Uhlig HH, Koletzko S, Patel S, Kanegane H, Picard C, Fischer A, Bensussan NC, Ruemmele F, Hugot JP, Latour S. Characterization of Crohn disease in X-linked inhibitor of apoptosis-deficient male patients and female symptomatic carriers.   Nov;134(5):1131-41. doi: 10.1016/j.jaci.2014.04.031. Epub 2014 Jun 15..",Characterization of Crohn disease in X-linked inhibitor of apoptosis-deficient male patients and female symptomatic carriers,"{'title': ['Characterization of Crohn disease in X-linked inhibitor of apoptosis–deficient male patients and female symptomatic carriers'], 'DOI': '10.1016/j.jaci.2014.04.031'}",['Characterization of Crohn disease in X-linked inhibitor of apoptosis–deficient male patients and female symptomatic carriers'],10.1016/j.jaci.2014.04.031,Characterization of Crohn disease in X-linked inhibitor of apoptosis–deficient male patients and female symptomatic carriers,False,True
30,1152,,"Ahmad-Tajudin A, Adler B, EkstrÃ•_m S, Marko-Varga G, Malm J, Lilja H, Laurell T. MALDI-target integrated platform for affinity-captured protein digestion.   Sep 11;807:01-Aug. [Epub 2013 Sep 11].",MALDI-target integrated platform for affinity-captured protein digestion,"{'title': ['MALDI-target integrated platform for affinity-captured protein digestion'], 'DOI': '10.1016/j.aca.2013.08.051'}",['MALDI-target integrated platform for affinity-captured protein digestion'],10.1016/j.aca.2013.08.051,MALDI-target integrated platform for affinity-captured protein digestion,True,False
31,2016,10.3233/JAD-160018,"Ahmed S, Baker I, Husain M, Thompson S, Kipps C, Hornberger M, Hodges JR, Butler CR.. Memory Impairment at Initial Clinical Presentation in Posterior Cortical Atrophy..   Apr 23;52(4):1245-50.. doi: 10.3233/JAD-160018.",Memory Impairment at Initial Clinical Presentation in Posterior Cortical Atrophy.,"{'title': ['Memory impairment at initial clinical presentation in posterior cortical atrophy'], 'DOI': '10.1016/j.jns.2015.08.392'}",['Memory impairment at initial clinical presentation in posterior cortical atrophy'],10.1016/j.jns.2015.08.392,Memory impairment at initial clinical presentation in posterior cortical atrophy,False,False
32,2015,10.1136/jnnp-2015-312945,"Ahmed S, Baker I, Thompson S, Husain M, Butler CR.. Utility of testing for apraxia and associated features in dementia..   Jun 1(pii: jnnp-2015-312945. doi: 10.1136/jnnp-2015-312945.). ePubmed ahead of print.",Utility of testing for apraxia and associated features in dementia.,"{'title': ['Utility of testing for apraxia and associated features in dementia'], 'DOI': '10.1136/jnnp-2015-312945'}",['Utility of testing for apraxia and associated features in dementia'],10.1136/jnnp-2015-312945,Utility of testing for apraxia and associated features in dementia,False,True
33,1639,,"Ahmed S, Brennan L, Eppig J, Price CC, Lamar M, Delano-Wood L, Bangen KJ, Edmonds EC, Clark L, Nation DA, Jak A, Au R, Swenson R, Bondi MW, Libon DJ.. Visuoconstructional impairment in subtypes of mild cognitive impairment.   Sep 23:1-10..",Visuoconstructional impairment in subtypes of mild cognitive impairment,"{'title': ['Comparative study between depression in Korean elderly with mild cognitive impairment and normal cognitive function'], 'DOI': '10.1111/j.1442-2018.2011.00666.x'}",['Comparative study between depression in Korean elderly with mild cognitive impairment and normal cognitive function'],10.1111/j.1442-2018.2011.00666.x,Comparative study between depression in Korean elderly with mild cognitive impairment and normal cognitive function,False,False
