,ID,DOI,complete,csv_post_title,crossref_API_out
1619,2180,10.1016/j.jbior.2016.08.001,"Pellagatti A, Boultwood J. Splicing factor gene mutations in the myelodysplastic syndromes: impact on disease phenotype and therapeutic applications.   Aug. pii: S2212-4926(16)30027-6. doi: 10.1016/j.jbior.2016.08.001. [Epub ahead of print].",Splicing factor gene mutations in the myelodysplastic syndromes: impact on disease phenotype and therapeutic applications,"{'title': ['Splicing factor gene mutations in the myelodysplastic syndromes: impact on disease phenotype and therapeutic applications'], 'DOI': '10.1016/j.jbior.2016.08.001'}"
1620,1786,,"Pellagatti A, BoultwoodÂ J. Recent Advances in the 5q- Syndrome.   May;7(1):e2015037.",Recent Advances in the 5q- Syndrome,"{'title': ['RECENT ADVANCES IN THE 5Q- SYNDROME'], 'DOI': '10.4084/mjhid.2015.037'}"
1621,1424,,"Pellagatti A, Dolatshad H, Valletta S, Boultwood J.. Application of CRISPR/Cas9 genome editing to the study and treatment of disease.   Jul;89(7):1023-34. Epub 2015 Apr 1.",Application of CRISPR/Cas9 genome editing to the study and treatment of disease,"{'title': ['Targeted genome editing inCaenorhabditis elegansusing CRISPR/Cas9'], 'DOI': '10.1002/wdev.287'}"
1622,1620,10.1016/j.jbior.2015.09.005,"Pellagatti A, Dolatshad H, Yip BH, Valletta S, Boultwood J.. Application of genome editing technologies to the study and treatment of hematological disease.   Jan;60:122-34. doi: 10.1016/j.jbior.2015.09.005. Epub 2015 Sep 26..",Application of genome editing technologies to the study and treatment of hematological disease,"{'title': ['Application of genome editing technologies to the study and treatment of hematological disease'], 'DOI': '10.1016/j.jbior.2015.09.005'}"
1623,1770,10.1038/leu.2013.381,"Pellagatti A, Fernandez-Mercado M, Di Genua C, Larrayoz MJ, Killick S, Dolatshad H et al. Whole-exome sequencing in del(5q) myelodysplastic syndromes in transformation to acute myeloid leukemia.   May;28(5):1148-51. doi: 10.1038/leu.2013.381.",Whole-exome sequencing in del(5q) myelodysplastic syndromes in transformation to acute myeloid leukemia,"{'title': ['Whole-exome sequencing in del(5q) myelodysplastic syndromes in transformation to acute myeloid leukemia'], 'DOI': '10.1038/leu.2013.381'}"
1624,1766,10.1038/leu.2015.129,"Pellagatti A, Roy S, Di Genua C, Burns A, McGraw K, Valletta S, Larrayoz MJ, Fernandez-Mercado M, Mason J, Killick S, Mecucci C, Calasanz MJ, List A, Schuh A, Boultwood J et al. Targeted resequencing analysis of 31 genes commonly mutated in myeloid disorders in serial samples from myelodysplastic syndrome patients showing disease progression.   Jan;30(1):248-50.  doi: 10.1038/leu.2015.129. Epub 2015 May 20..",Targeted resequencing analysis of 31 genes commonly mutated in myeloid disorders in serial samples from myelodysplastic syndrome patients showing disease progression,"{'title': ['Targeted resequencing analysis of 31 genes commonly mutated in myeloid disorders in serial samples from myelodysplastic syndrome patients showing disease progression'], 'DOI': '10.1038/leu.2015.129'}"
1625,2088,,"Penaloza-Ramos MC, Jowett S, Barton P, Roalfe A, Fletcher K, Taylor CJ, Hobbs FR, McManus RJ, Mant J. Cost-effectiveness analysis of different systolic blood pressure targets for people with a history of stroke or transient ischaemic attack: Economic analysis of the PAST-BP study.   Oct;23(15):1590-1598. Epub 2016 May 25..",Cost-effectiveness analysis of different systolic blood pressure targets for people with a history of stroke or transient ischaemic attack: Economic analysis of the PAST-BP study,"{'title': ['Cost-effectiveness analysis of different systolic blood pressure targets for people with a history of stroke or transient ischaemic attack: Economic analysis of the PAST-BP study'], 'DOI': '10.1177/2047487316651982'}"
1626,1893,,"Penaloza-Ramos MC, Jowett S, Mant J, Schwartz C, Bray EP, Sayeed Haque M, Richard Hobbs FD, Little P, Bryan S, Williams B, McManus RJ. Cost-effectiveness of self-management of blood pressure in hypertensive patients over 70 years with suboptimal control and established cardiovascular disease or additional cardiovascular risk diseases (TASMIN-SR)..   Nov. pii: 2047487315618784. [Epub ahead of print].",Cost-effectiveness of self-management of blood pressure in hypertensive patients over 70 years with suboptimal control and established cardiovascular disease or additional cardiovascular risk diseases (TASMIN-SR).,"{'title': ['Cost-effectiveness of self-management of blood pressure in hypertensive patients over 70 years with suboptimal control and established cardiovascular disease or additional cardiovascular risk diseases (TASMIN-SR)'], 'DOI': '10.1177/2047487315618784'}"
1627,2009,10.1161/STROKEAHA.114.008043,"Pendlebury ST, Chen PJ, Bull L, Silver L, Mehta Z, Rothwell PM, Oxford Vascular Study. Methodological factors in determining rates of dementia in transient ischemic attack and stroke: (I) impact of baseline selection bias.   Mar;46(3):641-6. doi: 10.1161/STROKEAHA.114.008043.",Methodological factors in determining rates of dementia in transient ischemic attack and stroke: (I) impact of baseline selection bias,"{'title': ['Methodological Factors in Determining Rates of Dementia in Transient Ischemic Attack and Stroke'], 'DOI': '10.1161/strokeaha.114.008043'}"
1628,1509,10.1161/STROKEAHA.115.009065,"Pendlebury ST, Chen PJ, Welch SJ, Cuthbertson FC, Wharton RM, Mehta Z, Rothwell PM; Oxford Vascular Study. Methodological factors in determining risk of dementia after transient ischemic attack and stroke: (II) Effect of attrition on follow-up.   Jun;46(6):1494-1500. doi: 10.1161/STROKEAHA.115.009065.",Methodological factors in determining risk of dementia after transient ischemic attack and stroke: (II) Effect of attrition on follow-up,"{'title': ['Methodological Factors in Determining Risk of Dementia After Transient Ischemic Attack and Stroke'], 'DOI': '10.1161/strokeaha.115.009065'}"
1629,1915,10.1093/ageing/afv134,"Pendlebury ST, Klaus SP, Mather M, de Brito M, Wharton RM. Routine cognitive screening in older patients admitted to acute medicine: abbreviated mental test score (AMTS) and subjective memory complaint versus Montreal Cognitive Assessment and IQCODE.   Nov(44(6)):1000-5. doi: 10.1093/ageing/afv134. .",Routine cognitive screening in older patients admitted to acute medicine: abbreviated mental test score (AMTS) and subjective memory complaint versus Montreal Cognitive Assessment and IQCODE,"{'title': ['Routine cognitive screening in older patients admitted to acute medicine: abbreviated mental test score (AMTS) and subjective memory complaint versus Montreal Cognitive Assessment and IQCODE'], 'DOI': '10.1093/ageing/afv134'}"
1630,1682,10.1161/STROKEAHA.115.010290. ,"Pendlebury ST, Klaus SP, Thomson RJ, Mehta Z, Wharton RM, Rothwell PM, Oxford Vascular Study. Methodological factors in determining risk of dementia after transient ischemic attack and stroke: (III) Applicability of cognitive tests.   Nov;46(11):3067-73. doi: 10.1161/STROKEAHA.115.010290. Epub 2015 Oct 13..",Methodological factors in determining risk of dementia after transient ischemic attack and stroke: (III) Applicability of cognitive tests,"{'title': ['Methodological Factors in Determining Risk of Dementia After Transient Ischemic Attack and Stroke'], 'DOI': '10.1161/strokeaha.115.010290'}"
1631,1830,,"Pendlebury ST, Lovett N, Smith SC, Cornish E, Mehta Z, Rothwell PM. Delirium risk stratification in consecutive unselected admissions to acute medicine: validation of externally derived risk scores.   Jan;45(1):60-5 .",Delirium risk stratification in consecutive unselected admissions to acute medicine: validation of externally derived risk scores,"{'title': ['Delirium risk stratification in consecutive unselected admissions to acute medicine: validation of externally derived risk scores'], 'DOI': '10.1093/ageing/afv177'}"
1632,1681,,"Pendlebury ST, Lovett NG, Smith SC, Dutta N, Bendon C, Lloyd-Lavery A, Mehta Z, Rothwell PM.. Observational, longitudinal study of delirium in consecutive unselected acute medical admissions: age-specific rates and associated factors, mortality and re-admission.   Nov 16;5(11). e007808.","Observational, longitudinal study of delirium in consecutive unselected acute medical admissions: age-specific rates and associated factors, mortality and re-admission","{'title': ['Observational, longitudinal study of delirium in consecutive unselected acute medical admissions: age-specific rates and associated factors, mortality and re-admission'], 'DOI': '10.1136/bmjopen-2015-007808'}"
1633,736,,"Pendlebury ST, Mariz J, Bull L, Mehta Z, Rothwell PM.. Impact of different operational definitions on mild cognitive impairment rate and MMSE and MoCA performance in transient ischaemic attack and stroke..   Nov;36(5-6):355-62. .",Impact of different operational definitions on mild cognitive impairment rate and MMSE and MoCA performance in transient ischaemic attack and stroke.,"{'title': ['Impact of Different Operational Definitions on Mild Cognitive Impairment Rate and MMSE and MoCA Performance in Transient Ischaemic Attack and Stroke'], 'DOI': '10.1159/000355496'}"
1634,54,,"Pendlebury ST, Markwick A, de Jager CA, Zamboni G, Wilcock GK, Rothwell PM. Differences in cognitive profile between TIA, stroke and elderly memory research subjects: a comparison of the MMSE and MoCA.   Jun;34(1):48-54.","Differences in cognitive profile between TIA, stroke and elderly memory research subjects: a comparison of the MMSE and MoCA","{'title': ['Differences in Cognitive Profile between TIA, Stroke and Elderly Memory Research Subjects: A Comparison of the MMSE and MoCA'], 'DOI': '10.1159/000338905'}"
1635,290,,"Pendlebury ST, Welch SJ, Cuthbertson FC, Mariz J, Mehta Z, Rothwell PM. Telephone assessment of cognition after transient ischemic attack and stroke: modified telephone interview of cognitive status and telephone Montreal Cognitive Assessment versus face-to-face Montreal Cognitive Assessment and neuropsychological battery.   Jan;44(1):227-9.",Telephone assessment of cognition after transient ischemic attack and stroke: modified telephone interview of cognitive status and telephone Montreal Cognitive Assessment versus face-to-face Montreal Cognitive Assessment and neuropsychological battery,"{'title': ['Telephone Assessment of Cognition After Transient Ischemic Attack and Stroke'], 'DOI': '10.1161/strokeaha.112.673384'}"
1636,2291,10.1161/ATVBAHA.116.308362,"Pendlebury, S. T., & Rothwell, P. M. (2016). Brain Atrophy, N-Terminal Brain Natriuretic Peptide, and Carotid Disease: Interconnecting Relationships Between Cerebral Perfusion, Cardiovascular Disease, Inflammation, and Cognitive Decline. Arteriosclerosis, Thrombosis, and Vascular Biology,Vol. 36, No. 11; 2141–2142 Doi: 10.1161/ATVBAHA.116.308362","Brain Atrophy, N-Terminal Brain Natriuretic Peptide, and Carotid Disease: Interconnecting Relationships Between Cerebral Perfusion, Cardiovascular Disease, Inflammation, and Cognitive Decline","{'title': ['Brain Atrophy, N-Terminal Brain Natriuretic Peptide, and Carotid Disease'], 'DOI': '10.1161/atvbaha.116.308362'}"
1637,825,,"Pennell DJ, Baksi AJ, Kilner PJ, Mohiaddin RH, Prasad SK, Alpendurada F et al. Review of Journal of Cardiovascular Magnetic Resonance 2013.   Dec;16:100.",Review of Journal of Cardiovascular Magnetic Resonance 2013,None
1638,660,,"Pereira EA, Boccard SG, Linhares P, Chamadoira C, Rosas MJ, Abreu P, Rebelo V, Vaz R, Aziz TZ. Thalamic deep brain stimulation for neuropathic pain after amputation or brachial plexus avulsion.   Sep;35(3):e7.",Thalamic deep brain stimulation for neuropathic pain after amputation or brachial plexus avulsion,"{'title': ['Thalamic deep brain stimulation for neuropathic pain after amputation or brachial plexus avulsion'], 'DOI': '10.3171/2013.7.focus1346'}"
1639,761,,"Pereira EA, Paranathala M, Hyam JA, Green AL, Aziz TZ. Anterior cingulotomy improves malignant mesothelioma pain and dyspnoea..   Nov 7.",Anterior cingulotomy improves malignant mesothelioma pain and dyspnoea.,"{'title': ['Anterior cingulotomy improves malignant mesothelioma pain and dyspnoea'], 'DOI': '10.3109/02688697.2013.857006'}"
1640,488,,"Pereira EA, Wang S, Owen SL, Aziz TZ, Green AL. Human periventricular grey somatosensory evoked potentials suggest rostrocaudally inverted somatotopy.   Jun;91(5):290-97.",Human periventricular grey somatosensory evoked potentials suggest rostrocaudally inverted somatotopy,"{'title': ['Human Periventricular Grey Somatosensory Evoked Potentials Suggest Rostrocaudally Inverted Somatotopy'], 'DOI': '10.1159/000348324'}"
1641,1788,10.1182/blood-2016-01-694331,"Perkins A, Xu X, Higgs DR, Patrinos GP, Arnaud L, Bieker JJ, Philipsen S.. ""KrÃ¼ppeling"" erythropoiesis: an unexpected broad spectrum of human red blood cell disorders due to KLF1 variants unveiled by genomic sequencing..   Apr;127(15):1856-62.  doi: 10.1182/blood-2016-01-694331. Epub 2016 Feb 22..",Krüppeling erythropoiesis: an unexpected broad spectrum of human red blood cell disorders due to KLF1 variants unveiled by genomic sequencing.,"{'title': ['Kruppeling erythropoiesis: an unexpected broad spectrum of human red blood cell disorders due to KLF1 variants'], 'DOI': '10.1182/blood-2016-01-694331'}"
1642,143,10.4049/jimmunol.1200451,"Perrett KP, Jin C, Clutterbuck E, John TM, Winter AP, Kibwana E, Yu LM, Curtis N, Pollard AJ. B cell memory to a serogroup C meningococcal conjugate vaccine in childhood and response to booster: little association with serum IgG antibody.   Sep 1;189(5):2673-81. doi: 10.4049/jimmunol.1200451.",B cell memory to a serogroup C meningococcal conjugate vaccine in childhood and response to booster: little association with serum IgG antibody,"{'title': ['B Cell Memory to a Serogroup C Meningococcal Conjugate Vaccine in Childhood and Response to Booster: Little Association with Serum IgG Antibody'], 'DOI': '10.4049/jimmunol.1200451'}"
1643,939,,"Perrett KP, John TM, Jin C, Kibwana E, Yu LM, Curtis N et al. Long-term persistence of immunity and B-cell memory following haemophilus influenzae type B conjugate vaccination in early childhood and response to booster.   Apr;58(7):949-59.",Long-term persistence of immunity and B-cell memory following haemophilus influenzae type B conjugate vaccination in early childhood and response to booster,"{'title': ['Long-term Persistence of Immunity and B-Cell Memory Following Haemophilus influenzae Type b Conjugate Vaccination in Early Childhood and Response to Booster'], 'DOI': '10.1093/cid/ciu001'}"
1644,1331,10.1016/j.mcn.2015.02.009,"Perrett RM, Alexopoulou Z, Tofaris GK. The endosomal pathway in Parkinson' s disease.   Feb;pii: S1044-7431(15):00022-6. doi: 10.1016/j.mcn.2015.02.009. [Epub ahead of print].",The endosomal pathway in Parkinson's disease,"{'title': ['DJ-1 and Parkinson′s Disease*'], 'DOI': '10.3724/sp.j.1206.2010.00393'}"
1645,1197,10.1038/nature13545,"Perry JR, Day F, Elks CE, Sulem P, Thompson DJ, Ferreira T, He C, Chasman DI, Esko T, Thorleifsson G, Albrecht E et al. Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche.   Oct 2;514(7520):92-7. doi: 10.1038/nature13545. Epub 2014 Jul 23..",Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche,"{'title': ['Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche'], 'DOI': '10.1038/nature13545'}"
1646,799,,"Peter NM, Leyland M, Mudhar HS, Lowndes J, Owen KR, Stewart H. PAX6 mutation in association with ptosis, cataract, iris hypoplasia, corneal opacification and diabetes: a new variant of familial aniridia?.   Dec.","PAX6 mutation in association with ptosis, cataract, iris hypoplasia, corneal opacification and diabetes: a new variant of familial aniridia?","{'title': ['PAX6mutation in association with ptosis, cataract, iris hypoplasia, corneal opacification and diabetes: a new variant of familial aniridia?'], 'DOI': '10.1111/ceo.12109'}"
1647,2361,10.1186/s12968-017-0327-9,"Petersen SE, Aung N, Sanghvi MM, Zemrak F, Fung K, Paiva JM, et al. Reference ranges for cardiac structure and function using cardiovascular magnetic resonance (CMR) in Caucasians from the UK Biobank population cohort. J Cardiovasc Magn Reson. 2017;19(1):18.",Reference ranges for cardiac structure and function using cardiovascular magnetic resonance (CMR) in Caucasians from the UK Biobank population cohort.,"{'title': ['Reference ranges for cardiac structure and function using cardiovascular magnetic resonance (CMR) in Caucasians from the UK Biobank population cohort'], 'DOI': '10.1186/s12968-017-0327-9'}"
1648,448,,"Petersen SE, Matthews PM, Bamberg F, Bluemke DA, Francis JM, Friedrich MG et al. Imaging in population science: cardiovascular magnetic resonance in 100,000 participants of UK Biobank  -  rationale, challenges and approaches.   May;15:46.","Imaging in population science: cardiovascular magnetic resonance in 100,000 participants of UK Biobank  -  rationale, challenges and approaches","{'title': ['Imaging in population science: cardiovascular magnetic resonance in 100,000 participants of UK Biobank - rationale, challenges and approaches'], 'DOI': '10.1186/1532-429x-15-46'}"
1649,1868,10.1186/s12968-016-0227-4,"Petersen SE, Matthews PM, Francis JM, Robson MD, Zemrak F, Boubertakh R et al. UK Biobank' s cardiovascular magnetic resonance protocol.   Feb;18(1):8. doi: 10.1186/s12968-016-0227-4..",UK Biobank's cardiovascular magnetic resonance protocol,"{'title': ['How to Build an Integrated Biobank: The Washington University Translational Cardiovascular Biobank & Repository Experience'], 'DOI': '10.1111/cts.12032'}"
1650,671,,"Petit-Zeman S, Locock L. Health care: bring on the evidence.   Sep 12;501(7466):160-1.",Health care: bring on the evidence,"{'title': ['Evidence-Based Health Care Management'], 'DOI': '10.1177/0163278713511325'}"
1651,1188,10.3324/haematol.2014.109306,"Petousi N, Copley RR, Lappin TR, Haggan SE, Bento CM, Cario H, Percy MJ, WGS Consortium, Ratcliffe PJ, Robbins PA, McMullin MF, Donnelly P, Bell J, Bentley D, McVean G, Taylor J, Wilkie A, Donelly P, Broxholme J, Buck D, Cazier JB, Cornall R, Gregory L, Knight J, Lunter G, Tomlinson I, Allan C, Attar M, Green A, Humphray S, Kingsbury Z, Lamble S, Lonie L, Pagnamenta A, Piazza P, Polanco G, Trebes A, Fiddy S, Grocock R, Hatton E, Holmes C, Hughes L, Humburg P, Kanapin A, Lise S, Martin H, Murray L, McCarthy D, Rimmer A, Sahgal N, Wright B, Yau C. Erythrocytosis associated with a novel missense mutation in the BPGM gene.   Oct;99(10):e201-4. doi: 10.3324/haematol.2014.109306. Epub 2014 Jul 11.",Erythrocytosis associated with a novel missense mutation in the BPGM gene,"{'title': ['Erythrocytosis associated with a novel missense mutation in the BPGM gene'], 'DOI': '10.3324/haematol.2014.109306'}"
1652,1400,10.1212/WNL.0000000000001326,"Pettingill P, Kramer HB, Coebergh JA, Pettingill R, Maxwell S, Nibber A, Malaspina A, Jacob A, Irani SR, Buckley C, Beeson D, Lang B, Waters P, Vincent A.. Antibodies to GABAA receptor _1 and _2 subunits: Clinical and serologic characterization.   Mar 24;84:1233-41. doi: 10.1212/WNL.0000000000001326. Epub 2015 Jan 30..",Antibodies to GABAA receptor _1 and _2 subunits: Clinical and serologic characterization,"{'title': ['Antibodies to GABAA receptor \xa01 and \xa02 subunits: Clinical and serologic characterization'], 'DOI': '10.1212/wnl.0000000000001326'}"
1653,40,,"Pettitt AR, Jackson R, Carruthers S, Dodd J, Dodd S, Oates M, Johnson GG, Schuh A, Matutes E, Dearden CE, Catovsky D, Radford JA, Bloor A, Follows GA, Devereux S, Kruger A, Blundell J, Agrawal S, Allsup D, Proctor S, Heartin E, Oscier D, Hamblin TJ, Rawstron A, Hillmen P. Alemtuzumab in combination with methylprednisolone is a highly effective induction regimen for patients with chronic lymphocytic leukaemia and deletion of TP53: Final results of the National Cancer Research Institute CLL206 Trial.   May;30(14):1647-55.",Alemtuzumab in combination with methylprednisolone is a highly effective induction regimen for patients with chronic lymphocytic leukaemia and deletion of TP53: Final results of the National Cancer Research Institute CLL206 Trial,"{'title': ['Alemtuzumab in Combination With Methylprednisolone Is a Highly Effective Induction Regimen for Patients With Chronic Lymphocytic Leukemia and Deletion ofTP53: Final Results of the National Cancer Research Institute CLL206 Trial'], 'DOI': '10.1200/jco.2011.35.9695'}"
1654,12,10.4161/auto.18935,"Phadwal K, Alegre-Abarrategui J, Watson AS, Pike L, Anbalagan S, Hammond EM, Wade-Martins R, McMichael A, Klenerman P, Simon Ak. A novel method for autophagy detection in primary cells:impaired level of macroautophagy in immunosenescent T cells.   Apr;8(4):677-89. doi: 10.4161/auto.18935. Epub 2012 Apr1.",A novel method for autophagy detection in primary cells:impaired level of macroautophagy in immunosenescent T cells,"{'title': ['A novel method for autophagy detection in primary cells'], 'DOI': '10.4161/auto.18935'}"
