FinalDOI,ID,complete,api_add,times_cited,recent_citations,highly_cited_1,highly_cited_5,highly_cited_10,relative_citation_ratio,field_citation_ratio,license
10.1002/ajmg.a.35558,168,"pagnamenta at,  murray je,  yoon g, akha es,  harrison v,  bicknell ls, ajilogba k,  stewart h,  kini u,  taylor jc,  keays da,  jackson ap,  knight sj. a novel nonsense cdk5rap2 mutation in a somali child with primary microcephaly and sensorineural hearing loss.   oct;158a(10):2577-82.","{'doi': '10.1002/ajmg.a.35558', 'times_cited': 20, 'recent_citations': 4, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.54, 'field_citation_ratio': 1.89, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",20.0,4.0,False,False,False,0.54,1.89,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.3201/eid2204.151812,2026,"pybus og, bonsall d, gregory wf, ip cl, donfield s, iles j, ansari ma et al. evaluation of viremia frequencies of a novel human pegivirus by using bioinformatic screening and pcr.   apr;22(4):671-8. doi: 10.3201/eid2204.151812.","{'doi': '10.3201/eid2204.151812', 'times_cited': 14, 'recent_citations': 10, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.73, 'field_citation_ratio': 3.98, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",14.0,10.0,False,False,False,1.73,3.98,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.7554/elife.03821,1154,"williams jp,  hurst j,  stã•_hr w,  robinson n,  brown h,  fisher m,  kinloch s,  cooper d,  schechter m,  tambussi g,  fidler s,  carrington m,  babiker a,  weber j,  koelsch kk,  kelleher ad,  phillips re, frater j,  spartac trial investigators. hiv-1 dna predicts disease progression and post-treatment virological control.   sep 12;12(3). e03821. doi: 10.7554/elife.03821.","{'doi': '10.7554/elife.03821', 'times_cited': 157, 'recent_citations': 61, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 8.66, 'field_citation_ratio': 20.92, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",157.0,61.0,False,False,False,8.66,20.92,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1111/dote.12244,1729,"., findlay jm, tilson rc, harikrishnan a, sgromo b, marshall re, maynard nd, gillies rs, middleton mr et al. attempted validation of the nun score and inflammatory markers as predictors of esophageal anastomotic leak and major complications..   oct;28(7):626-33. doi: 10.1111/dote.12244. epub 2014 jun 4.","{'doi': '10.1111/dote.12244', 'times_cited': 9, 'recent_citations': 2, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.99, 'field_citation_ratio': 3.6, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",9.0,2.0,False,False,False,0.99,3.6,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1016/j.dib.2016.08.046,2123,"., rysnik o, mchugh k, van duivenvoorde l, van tok m2, taurog j, kollnberger s et al. data showing non-conventional hla-b27 expression in axial joints and gut tissue from b27 transgenic rats, and in frozen and paraffin-fixed synovial spa tissue.   aug 28;9(100):11. doi: 10.1016/j.dib.2016.08.046. ecollection 2016.","{'doi': '10.1016/j.dib.2016.08.046', 'times_cited': 2, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.19, 'field_citation_ratio': 0.8, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",2.0,0.0,False,False,False,0.19,0.8,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1128/jcm.00330-16,2125,"., thomson e, ip cl, badhan a, christiansen mt, adamson w, ansari ma et al. comparison of next-generation sequencing technologies for comprehensive assessment of full-length hepatitis c viral genomes.   oct;54(10):2470-84. doi: 10.1128/jcm.00330-16. epub 2016 jul 6.","{'doi': '10.1128/jcm.00330-16', 'times_cited': 49, 'recent_citations': 33, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 3.81, 'field_citation_ratio': 12.18, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",49.0,33.0,False,False,False,3.81,12.18,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.3233/jad-150862,2014,"; genetic and environmental risk for alzheimer's disease consortium (gerad1)., love s; genetic and environmental risk for alzheimer's disease consortium (gerad1), skrobot oa, mcknight aj, passmore pa, seripa d, mecocci p, panza f et al. a validation study of vascular cognitive impairment genetics meta-analysis findings in an independent collaborative cohort.   jun 15;53(3):981-9. doi: 10.3233/jad-150862.","{'doi': '10.3233/jad-150862', 'times_cited': 9, 'recent_citations': 5, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.03, 'field_citation_ratio': 4.17, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",9.0,5.0,False,False,False,1.03,4.17,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1002/art.38873,1299,"1, robinson pc,   claushuis ta,   cortes a,   martin tm,   evans dm,   leo p,   mukhopadhyay p,   bradbury la,   cremin k,   harris j,   maksymowych wp,   inman rd,   rahman p,   haroon n,   gensler l,   powell je,   van der horst-bruinsma ie,   hewitt aw,   craig je,   lim ll,   wakefield d,   mccluskey p,   voigt v,   fleming p; spondyloarthritis research consortium of canada,   australio-anglo-american spondylitis consortium,   international genetics of ankylosing spondylitis consortium,   wellcome trust case control study 2,   degli-esposti m,   pointon jj,   weisman mh,   wordsworth bp,   reveille jd,   rosenbaum jt,   brown ma.,  weisman mh.. genetic dissection of acute anterior uveitis reveals similarities and differences in associations observed with ankylosing spondylitis.   jan;67(1):140-51.  doi: 10.1002/art.38873..","{'doi': '10.1002/art.38873', 'times_cited': 48, 'recent_citations': 19, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 3.33, 'field_citation_ratio': 8.99, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",48.0,19.0,False,False,False,3.33,8.99,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1016/j.neuroimage.2014.03.056,1093,"7.	sampaio-baptista c, scholz j, jenkinson m, thomas ag, filippini n, smit g, douaud g, johansen-berg h. grey matter volume is associated with rate of subsequent skill learning after a long term training intervention.   aug 1;96:158-66. doi: 10.1016/j.neuroimage.2014.03.056.","{'doi': '10.1016/j.neuroimage.2014.03.056', 'times_cited': 32, 'recent_citations': 10, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.85, 'field_citation_ratio': 8.92, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",32.0,10.0,False,False,False,1.85,8.92,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1111/bjh.13380,1545,"ã•_sterborg a, wierda wg, mayer j, hess g, hillmen p, schetelig j, schuh a, smolej l, beck c, dreyfus b, hellman a, kozlowski p, pfreundschuh m, rizzi r, spacek m, phillips jl, gupta iv, williams v, jewell rc, nebot n, lisby s, dyer mj. ofatumumab retreatment and maintenance in fludarabine-refractory chronic lymphocytic leukaemia patients.   jul;170(1):40-9. 10.1111/bjh.13380. epub 2015 mar 30. pubmed pmid: 25825041.															.","{'doi': '10.1111/bjh.13380', 'times_cited': 10, 'recent_citations': 2, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.68, 'field_citation_ratio': 3.1, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",10.0,2.0,False,False,False,0.68,3.1,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1016/j.fertnstert.2014.12.123,1920,"åukaszuk k, pukszta s, wells d, cybulska c, liss j, på‚ã³ciennik å, kuczyå„ski w, zabielska j. routine use of next-generation sequencing for preimplantation genetic diagnosis of blastomeres obtained from embryos on day 3 in fresh in vitro fertilization cycles.   apr;103(4):1031-6. doi: 10.1016/j.fertnstert.2014.12.123. epub 2015 jan 24.","{'doi': '10.1016/j.fertnstert.2014.12.123', 'times_cited': 18, 'recent_citations': 4, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.73, 'field_citation_ratio': 9.36, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",18.0,4.0,False,False,False,1.73,9.36,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1136/archdischild-2013-304601,1023,"abdel-hady m, bansal s, davison sm, brown m, tizzard sa, mulla s et al. treatment of chronic viral hepatitis c in children and adolescents: uk experience.   jun;99(6):505-10.","{'doi': '10.1136/archdischild-2013-304601', 'times_cited': 17, 'recent_citations': 3, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.72, 'field_citation_ratio': 5.6, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",17.0,3.0,False,False,False,0.72,5.6,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1097/nen.0000000000000173,1369,"aboulenein-djamshidian f, hã•_ftberger r, waters p, krampla w, lassmann h, budka h, vincent a, kristoferitsch w.. reduction in serum aquaporin-4 antibody titers during development of a tumor-like brain lesion in a patient with neuromyelitis optica: a serum antibody-consuming effect?.   mar;74:194-7. doi: 10.1097/nen.0000000000000173.","{'doi': '10.1097/nen.0000000000000173', 'times_cited': 3, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.2, 'field_citation_ratio': 0.8, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",3.0,0.0,False,False,False,0.2,0.8,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1016/j.celrep.2013.04.006,479,"adam j, yang m, bauerschmidt c, kitagawa m, o'flaherty l, maheswaran p et al. a role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia.   may 30;3(5):1440-8.","{'doi': '10.1016/j.celrep.2013.04.006', 'times_cited': 43, 'recent_citations': 15, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.48, 'field_citation_ratio': 4.94, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",43.0,15.0,False,False,False,1.48,4.94,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1186/1745-6215-14-161,486,"adam s, penton-voak is, harmer cj, holmes ea, munafo mr. effects of emotion recognition training on mood among individuals with high levels of depressive symptoms: study protocol for a randomised controlled trial.   jun;14(1):161.","{'doi': '10.1186/1745-6215-14-161', 'times_cited': 11, 'recent_citations': 3, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.57, 'field_citation_ratio': 3.29, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",11.0,3.0,False,False,False,0.57,3.29,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1161/strokeaha.114.006849,1337,"adib-samii p, devan w, traylor m, lanfranconi s, zhang cr, cloonan l, falcone gj, radmanesh f, fitzpatrick k, kanakis a, rothwell pm, sudlow c, boncoraglio gb, meschia jf, levi c, dichgans m, bevan s, rosand j, rost ns, markus hs.. genetic architecture of white matter hyperintensities differs in hypertensive and nonhypertensive ischemic stroke.   feb;46(2):348-53 .","{'doi': '10.1161/strokeaha.114.006849', 'times_cited': 17, 'recent_citations': 6, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.08, 'field_citation_ratio': 5.69, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",17.0,6.0,False,False,False,1.08,5.69,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.3389/fmicb.2015.01016,1642,"adland e, klenerman p, goulder p, matthews pc. ongoing burden of disease and mortality from hiv/cmv coinfection in africa in the antiretroviral therapy era.   sep 24;6:1016. doi: 10.3389/fmicb.2015.01016. ecollection 2015..","{'doi': '10.3389/fmicb.2015.01016', 'times_cited': 45, 'recent_citations': 22, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 2.98, 'field_citation_ratio': 7.68, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",45.0,22.0,False,False,False,2.98,7.68,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
