ID,FinalDOI,Themes
188,10.1093/eurheartj/ehs341,Cardiovascular
189,10.1155/2012/948218,Genomic Medicine
190,10.1521/pedi.2012.26.5.775,Cognitive Health
191,10.1016/j.cmet.2012.08.010,Dementia and Cerebrovascular disease
192,10.1016/j.ajhg.2012.08.032,Cardiovascular
193,10.1159/000343718,Cardiovascular
194,10.1136/heartjnl-2012-302397,"Cardiovascular,Immunity and Inflammation"
195,10.1161/hypertensionaha.112.198366,Cardiovascular
196,10.2217/fon.12.136,Translational Physiology
197,10.1378/chest.12-1797,Translational Physiology
198,10.3174/ajnr.a3090,"Cardiovascular, Dementia and Cerebrovascular disease"
199,10.1152/ajpendo.00207.2012,Diabetes
200,10.1016/j.neuroimage.2012.10.088,Functional Neurosciences and Imaging
201,10.1016/j.neuroimage.2012.08.035,Functional Neurosciences and Imaging
202,10.1007/s00221-012-3239-9,Functional Neurosciences and Imaging
203,10.1109/titb.2012.2212202,Biomedical Informatics and Technology
204,10.1016/j.humpath.2012.01.020,"Cancer, Pathology and Bioresources"
205,10.1038/jcbfm.2012.105,Functional Neurosciences and Imaging
206,10.1007/s00125-012-2676-0,Diabetes
207,10.1007/s00428-012-1318-8,"Cancer, Pathology and Bioresources"
208,10.1038/oby.2012.65,Genomic Medicine
209,10.1016/j.ajhg.2012.08.027,Genomic Medicine
210,10.3389/fimmu.2012.00346,Vaccines
211,10.1167/iovs.12-9612,Other BRC Funded Work
212,10.1111/j.1468-1331.2012.03739.x,Dementia and Cerebrovascular disease
213,10.1016/s1474-4422(12)70234-x,Dementia and Cerebrovascular disease
214,10.1136/gutjnl-2011-300650,Vaccines
215,10.18632/oncotarget.694,Genomic Medicine
217,10.1016/j.ejca.2012.05.010,Cancer
218,10.1016/j.jaci.2012.05.046,Immunity and Inflammation
219,10.1016/j.jhep.2012.07.008,Immunity and Inflammation
220,10.1093/carcin/bgs239,Cancer
221,10.1002/mrm.24142,Cardiovascular
222,10.2217/fca.12.46,Cardiovascular
223,10.1371/journal.ppat.1003042,Immunity and Inflammation
224,10.1038/nature11827,Cancer
225,10.1182/blood-2012-05-433540,"Blood, Genomic Medicine"
226,10.1136/jnnp-2012-303585,Immunity and Inflammation
227,10.1161/circgenetics.112.963660,Cardiovascular
228,10.1176/appi.ajp.2012.12040499,Cognitive Health
229,10.1162/jocn_a_00294,Cognitive Health
230,10.1161/circulationaha.112.126920,Cardiovascular
231,10.1186/1532-429x-14-88,Cardiovascular
232,10.1136/thoraxjnl-2012-202178,Translational Physiology
233,10.1371/annotation/900641dd-0b06-4a77-9e2c-b7161dd49e1d,Vaccines
235,10.1038/ng.2462,Immunity and Inflammation
236,10.1016/j.clinph.2012.04.026,Functional Neurosciences and Imaging
237,10.1002/bjs.8932,Blood
238,10.1002/hbm.21402,Functional Neurosciences and Imaging
239,10.1371/journal.pgen.1003074,Genomic Medicine
240,10.1007/s12022-012-9221-z,Pathology and Bioresources
241,10.1007/s10555-012-9394-4,Cancer
242,10.1056/nejmp1212285,Genomic Medicine
243,10.1111/bjh.12067,Genomic Medicine
244,10.1161/strokeaha.112.667204,Immunity and Inflammation
245,10.1038/mt.2012.223,Vaccines
246,10.1038/ng.2435,Dementia and Cerebrovascular disease
247,10.1016/s1473-3099(12)70292-x,Vaccines
248,10.1093/hmg/dds357,Dementia and Cerebrovascular disease
249,10.1158/1055-9965.epi-12-0903,Genomic Medicine
250,10.1111/j.1365-2249.2012.04656.x,Immunity and Inflammation
251,10.1007/s10554-012-0174-6,Cardiovascular
252,10.1038/ng.2500,Cardiovascular
253,10.1182/blood-2012-06-436188,Cardiovascular
254,10.1371/journal.pone.0048687,Genomic Medicine
255,10.1186/1471-2407-12-590,Cancer
256,10.1186/gb-2012-13-12-r118,Immunity and Inflammation
257,10.2337/db12-0880,Dementia and Cerebrovascular disease
258,10.1182/blood-2012-08-448613,Blood
259,10.1074/jbc.m112.428854,Cancer
260,10.1038/nm0513-530,Molecular Diagnostics
261,10.12968/hmed.2013.74.sup1.c5,Blood
262,10.1111/apt.12149,Dementia and Cerebrovascular disease
263,10.1111/bjh.12075,Genomic Medicine
264,10.7861/clinmedicine.13-3-252,Biomedical Informatics and Technology
265,10.1053/j.gastro.2012.09.016,Genomic Medicine
266,10.1038/ng.2492,Genomic Medicine
267,10.1109/tbme.2012.2208459,Biomedical Informatics and Technology
268,10.1007/s11886-012-0326-2,Cardiovascular
269,10.1007/8904_2012_140,Genomic Medicine
270,10.1159/000342877,Translational Physiology
271,10.1136/jclinpath-2012-201231,Cancer
272,10.1007/s10456-012-9318-5,Cancer
273,10.1042/bj20120972,Cancer
274,10.1080/15265161.2013.849307,Ethics
275,10.1016/j.ejca.2012.07.028,Cancer
276,10.1093/brain/aws325,Immunity and Inflammation
277,10.1080/09658211.2012.730530,Cognitive Health
278,10.1161/strokeaha.112.678672,Dementia and Cerebrovascular Disease
279,10.1523/jneurosci.4437-12.2013,"Cognitive Health, Dementia and Cerebrovascular Disease, Functional Neurosciences and Imaging"
280,10.1016/s1474-4422(12)70299-5,Immunity and Inflammation
281,10.1038/ni.2497,Immunity and Inflammation
282,10.1056/NEJMoa1110039,Immunity and Inflammation
283,10.1186/1532-429x-15-s1-w9,Translational Physiology
284,10.1016/j.resp.2013.05.015,Biomedical Informatics and Technology
285,10.1186/1532-429x-15-s1-o24,Translational Physiology
286,10.1097/qad.0b013e32835b8cf5,Immunity and Inflammation
287,10.1186/1532-429x-15-s1-p162,Translational Physiology
288,10.1186/1532-429x-15-13,Translational Physiology
289,10.1002/ana.23838,Dementia and Cerebrovascular disease
290,10.1161/strokeaha.112.673384,Dementia and Cerebrovascular disease
291,10.2217/pme.13.33,Molecular Diagnostics
292,10.1002/hec.1812,Genomic Medicine
293,10.1038/ng.2480,Diabetes
294,10.1038/ng.2477,Diabetes
295,10.1007/s00125-012-2715-x,Diabetes
296,10.1371/journal.pone.0055272,Diabetes
297,10.4161/hv.22464,Vaccines
298,10.1136/heartjnl-2012-303028,"Cardiovascular, Immunity and Inflammation"
299,10.1038/nature11725,Diabetes
300,10.1016/j.parkreldis.2013.09.025,Functional Neurosciences and Imaging
301,10.1099/vir.0.047506-0,Immunity and Inflammation
302,10.1136/gutjnl-2011-301601,Genomic Medicine
303,10.1093/aje/kws297,Diabetes
304,10.1177/193229681300700115,Prevention and Population Care
305,10.1371/journal.pgen.1003219,"Genomic Medicine, Molecular Diagnostics"
306,10.1016/s0140-6736(12)62194-1,Vaccines
307,10.1186/1471-2164-14-55,Genomic Medicine
308,10.1136/heartjnl-2012-302533,Cardiovascular
309,10.1038/bmt.2012.252,Blood
310,10.1523/jneurosci.4675-12.2013,Cognitive Health
311,10.1162/jocn_a_00314,Cognitive Health
312,10.3109/02656736.2012.762553,Biomedical Informatics and Technology
313,10.1074/jbc.m112.411462,Immunity and Inflammation
314,10.1016/j.neuroimage.2013.01.009,Functional Neurosciences and Imaging
315,10.1136/bmjopen-2013-003995,Diabetes
316,10.1038/ng.2503,Genomic Medicine
317,10.1093/eurheartj/ehs461,"Cardiovascular, Immunity and Inflammation"
318,10.1161/circgenetics.111.000032,Cardiovascular
319,10.1109/jstsp.2012.2234081,Biomedical Informatics and Technology
320,10.1093/carcin/bgs357,Genomic Medicine
321,10.1093/jnci/djs486,Surgical Innovation and Evaluation 
322,10.1371/journal.pmed.1001383,Genomic Medicine
323,10.4049/jimmunol.1201455,Vaccines
324,10.1016/j.cell.2013.01.035,Genomic Medicine
325,10.1016/j.vaccine.2012.12.042,Vaccines
326,10.1371/journal.pone.0057320,Infection
327,10.1192/bjp.bp.112.115659,Cognitive Health
328,10.1016/s1473-3099(12)70277-3,Infection
329,10.1182/blood-2012-06-436436,Immunity and Inflammation
330,10.1111/cei.12525,Immunity and Inflammation
331,10.1016/j.coi.2012.11.002,Immunity and Inflammation
332,10.1016/j.tig.2012.10.006,Immunity and Inflammation
333,10.4049/jimmunol.1201331,Immunity and Inflammation
334,10.1111/dom.12032,Diabetes
335,10.1155/2013/107534,Genomic Medicine
336,10.1002/path.4139,Genomic Medicine
337,10.1227/neu.0b013e31827b97d6,Functional Neurosciences and Imaging
338,10.1016/j.expneurol.2012.11.011,Functional Neurosciences and Imaging
339,10.1371/journal.pone.0053990,Functional Neurosciences and Imaging
340,10.1182/blood-2012-07-445965,Blood
341,10.1007/s00125-012-2756-1,Diabetes
342,10.1016/j.ijcard.2012.06.105,Cardiovascular
343,10.1016/j.cmet.2013.01.011,Diabetes
344,10.1212/wnl.0b013e318281ccec,Functional Neurosciences and Imaging
345,10.1093/infdis/jis734,Immunity and Inflammation
346,10.1136/emermed-2013-202441,Cardiovascular
347,10.1136/bmj.f1163,Patient and Public Involvement
348,10.1177/0956797612457782,Cognitive Health
349,10.1038/nature11935,Genomic Medicine
350,10.1016/j.psychres.2012.09.047,Cognitive Health
351,10.2337/db12-0406,Diabetes
352,10.1056/nejmoa1209825,Prevention and Population Care
353,10.1038/bjc.2013.56,Cancer
354,10.1016/j.neuroimage.2012.11.059,Cognitive Health
355,10.1016/j.cortex.2012.04.011,"Cognitive Health, Dementia and Cerebrovascular Disease, Functional Neurosciences and Imaging"
356,10.1007/s10728-012-0234-z,Patient and Public Involvement
357,10.1378/chest.12-1285,Translational Physiology
358,10.3945/jn.112.172049,Diabetes
359,10.1016/j.cognition.2012.11.002,Functional Neurosciences and Imaging
360,10.1097/tp.0b013e318282256f,Diabetes
361,10.1038/ejhg.2012.172,Surgical Innovation and Evaluation 
362,10.1016/j.jval.2012.10.013,Prevention and Population Care
363,10.1016/j.neurobiolaging.2012.07.011,"Cognitive Health, Dementia and Cerebrovascular Disease, Functional Neurosciences and Imaging"
364,10.1038/ijo.2012.59,Pathology and Bioresources
365,10.1097/mco.0b013e32835d2edf,Diabetes
366,10.1111/cup.12075,Other BRC Funded Work
367,10.1210/jc.2012-3516,Diabetes
368,10.1016/s0140-6736(13)60554-1,Genomic Medicine
369,10.1111/jpc.12037,Vaccines
370,10.1097/qai.0b013e318282537f,Immunity and Inflammation
371,10.1371/journal.pone.0057726,Vaccines
372,10.1097/MD.0b013e31828a01f9,Vaccines
373,10.1016/j.imbio.2012.05.008,Vaccines
374,10.1002/jso.23220,"Cancer, Surgical Innovation and Evaluation"
375,10.1093/cid/cis1006,Infection
376,10.1177/0883073813480392,Immunity and Inflammation
377,10.1136/heartjnl-2012-302965,Cardiovascular
378,10.1016/j.ihj.2013.02.005,Cardiovascular
379,10.1038/ng.2539,Genomic Medicine
380,10.1002/hbm.21449,Functional Neurosciences and Imaging
381,10.1371/journal.pone.0060454,Cardiovascular
382,10.1002/mrm.24302,Cardiovascular
383,10.1038/ncomms2571,Functional Neurosciences and Imaging
384,10.1128/jvi.02793-12,Immunity and Inflammation
385,10.1002/14651858.cd009072.pub3,Blood
386,10.1016/j.cub.2013.01.068,Functional Neurosciences and Imaging
387,10.1016/s0140-6736(13)60177-4,Vaccines
388,10.1111/jth.12120,Cardiovascular
389,10.1111/dme.12038,Diabetes
390,10.1016/j.jim.2013.03.001,Vaccines
391,10.1016/j.jacc.2012.12.024,Cardiovascular
392,10.1089/ars.2012.4824,Cardiovascular
393,10.1007/s11517-013-1059-0,Biomedical Informatics and Technology
394,10.1136/emermed-2011-200499,Biomedical Informatics and Technology
395,10.1182/blood-2012-05-430926,Blood
396,10.1038/leu.2013.259,Blood
397,10.1016/j.ctrv.2012.08.004,Cancer
398,10.1016/j.neuron.2013.01.039,Cognitive Health
399,10.1038/ng.2528,Diabetes
400,10.1111/dom.12052,Diabetes
401,10.1002/hbm.22282,Functional Neurosciences and Imaging
402,10.1016/j.neurobiolaging.2012.08.010,Dementia and Cerebrovascular disease
403,10.1016/j.eururo.2013.07.015,Surgical Innovation and Evaluation
404,10.1111/j.1365-2990.2012.01272.x,Pathology and Bioresources
405,10.1038/ejhg.2012.166,Genomic Medicine
406,10.2337/dc12-1668,Dementia and Cerebrovascular disease
407,10.1038/leu.2012.306,"Immunity and Inflammation, Molecular Diagnostics"
408,10.1530/endoabs.31.oc5.3,Genomic Medicine
409,10.1093/brain/awt031,Dementia and Cerebrovascular Disease
410,10.1002/path.4132,Genomic Medicine
411,10.1136/bmjopen-2013-002822,Vaccines
412,10.1136/archdischild-2012-303103,Vaccines
413,10.1002/ijc.28454,Cancer
414,10.1016/S1470-2045(13)70237-7,Cancer
415,10.1093/annonc/mds511,Cancer
416,10.1259/bjr.20120398,Cancer
417,10.1016/s1470-2045(13)70021-4,Cancer
418,10.1155/2013/459520,Cardiovascular
419,10.1136/jclinpath-2013-201457,Pathology and Bioresources
420,10.1016/j.pain.2012.11.016,Functional Neurosciences and Imaging
421,10.1136/annrheumdis-2012-203080,Immunity and Inflammation
422,10.4049/jimmunol.1202926,Immunity and Inflammation
423,10.1111/cei.12039,Immunity and Inflammation
424,10.1371/journal.pone.0059905,Diabetes
425,10.1016/j.jcmg.2012.11.013,Cardiovascular
426,10.1016/j.neuroimage.2012.12.041,Functional Neurosciences and Imaging
427,10.3389/fnins.2013.00046,Functional Neurosciences and Imaging
428,10.1182/blood-2011-12-397067,Blood
429,10.1111/cge.12055,Diabetes
430,10.1136/bmjopen-2012-002460,Prevention and Population Care
431,10.1136/heartjnl-2013-303964,Cardiovascular
432,10.1007/s40273-013-0047-4,Biomedical Informatics and Technology
433,10.1016/j.neuroimage.2013.03.059,Cognitive Health
434,10.1093/hmg/ddt015,Genomic Medicine
435,10.1016/j.jagp.2012.12.025,Dementia and Cerebrovascular Disease
436,10.4244/eijv8i12a209,Cardiovascular
437,10.1159/000348845,Translational Physiology
438,10.2337/db12-1077,Diabetes
439,10.1111/vox.12003,Blood
440,10.1182/blood.V116.21.223.223,Blood
441,10.1056/nejmoa1212772,Blood
442,10.1111/codi.12147,Cancer
443,10.1016/j.jaac.2013.02.010,Cognitive Health
444,10.1136/heartjnl-2013-304019.167,Cardiovascular
445,10.1111/jicd.12088,Cardiovascular
446,10.7150/thno.5895,Cardiovascular
447,10.1016/j.visres.2013.02.007,Functional Neurosciences and Imaging
448,10.1186/1532-429x-15-46,Cardiovascular
449,10.1161/CIRCIMAGING.113.000218,Cardiovascular
450,10.1136/heartjnl-2013-304019.222,Cardiovascular
451,10.1161/circimaging.112.000070,"Cardiovascular, Translational Physiology"
452,10.1038/ejhg.2013.81,Cardiovascular
453,10.1371/journal.pgen.1003488,Genomic Medicine
454,10.1371/journal.pone.0064233,Pathology and Bioresources
455,10.1084/jem.20122308,Pathology and Bioresources
456,10.2337/db12-0819,Diabetes
457,10.2337/db12-1032,Pathology and Bioresources
458,10.1038/ng.2606,Pathology and Bioresources
459,10.1016/j.vaccine.2013.03.036,Vaccines
460,10.1542/peds.2013-2294iiii,Vaccines
461,10.1371/journal.ppat.1003303,Vaccines
462,10.1093/hmg/ddt033,Vaccines
463,10.1371/journal.pone.0062778,Vaccines
464,10.1371/journal.pone.0063540,Infection
465,10.1371/journal.pone.0061319,Infection
467,10.1016/j.neuroimage.2013.05.096,Functional Neurosciences and Imaging
468,10.1016/j.ccr.2013.03.013,Cancer
469,10.1093/jnci/djt054,Cancer
470,10.1007/s11883-013-0325-9,Cardiovascular
471,10.1182/blood-2012-09-455238,Blood
472,10.1007/s00221-013-3484-6,Functional Neurosciences and Imaging
473,10.1016/s0140-6736(13)60650-9,Blood
474,10.1136/bmjopen-2012-002154,Blood
475,10.1111/j.1537-2995.2012.03849.x,Blood
476,10.1111/cge.12157,Genomic Medicine
477,10.1186/1471-2407-13-245,Cancer
479,10.1016/j.celrep.2013.04.006,Cardiovascular
480,10.1136/heartjnl-2013-304223,Cardiovascular
481,10.1016/j.jcin.2012.12.133,Cardiovascular
482,10.1371/journal.pone.0065601,Cognitive Health
483,10.1371/journal.pone.0066351,Dementia and Cerebrovascular Disease
484,10.1158/1078-0432.ccr-13-0634,Cancer
485,10.1016/j.concog.2013.01.008,Cognitive Health
486,10.1186/1745-6215-14-161,Cognitive Health
487,10.1371/journal.pmed.1001474,Diabetes
488,10.1159/000348324,Functional Neurosciences and Imaging
489,10.1016/j.rbmo.2013.02.012,Genomic Medicine
490,10.3233/jpd-120126,Functional Neurosciences and Imaging
491,10.1681/asn.2012080783,Cardiovascular
492,10.1097/qco.0b013e32835fb829,Vaccines
493,10.1093/hmg/ddt063,Genomic Medicine
494,10.1038/tpj.2012.2,Genomic Medicine
495,10.1093/humrep/det077,Genomic Medicine
496,10.1161/circinterventions.112.000064,Cardiovascular
497,10.1093/eurheartj/ehs443,"Cardiovascular, Immunity and Inflammation"
498,10.1136/gutjnl-2011-300537,Genomic Medicine
499,10.3399/bjgp13x668168,Prevention and Population Care
500,10.1136/jclinpath-2012-201348,Pathology and Bioresources
501,10.1152/ajpendo.00630.2012,Pathology and Bioresources
502,10.1038/nature12170,Diabetes
503,10.2337/dc12-0643,Dementia and Cerebrovascular disease
504,10.1371/journal.pgen.1003500,Pathology and Bioresources
505,10.1136/archdischild-2012-301885.55,Vaccines
506,10.1161/strokeaha.113.679936,Dementia and Cerebrovascular Disease
507,10.1111/bjd.12503,Cancer
508,10.1371/journal.pone.0065960,Vaccines
509,10.1016/j.ccr.2013.05.009,Cancer
510,10.1093/cid/cit089,Infection
511,10.1038/cdd.2013.47,Cancer
512,10.1016/j.vaccine.2013.03.070,Vaccines
513,10.1586/erv.13.48,Vaccines
514,10.1016/j.vaccine.2013.04.036,Vaccines
515,10.1136/archdischild-2012-302153,Vaccines
516,10.1016/j.clon.2013.01.006,Cancer
517,10.1016/s1470-2045(13)70136-0,Cancer
518,10.1371/journal.pone.0066129,Infection
519,10.1093/cid/cit127,Infection
520,10.1038/bmt.2012.236,Blood
521,10.1099/vir.0.051052-0,Immunity and Inflammation
